2025-10-20 22:23:16,094 - MainProcess - INFO - Starting processing with 8 workers, batch size of 1000, and task timeout of 300s.
2025-10-20 22:23:16,094 - MainProcess - INFO - Logs will be saved to: processing_log.txt
2025-10-20 22:23:16,208 - MainProcess - INFO - --- Starting Batch 1/19 (Size: 1000) ---
2025-10-20 22:23:17,315 - ForkProcess-7 - WARNING - [6abp] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 47 O, 3, is greater than permitted
2025-10-20 22:23:17,328 - ForkProcess-4 - WARNING - [8abp] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 47 O, 3, is greater than permitted
2025-10-20 22:23:17,330 - ForkProcess-5 - WARNING - [7abp] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 47 O, 3, is greater than permitted
2025-10-20 22:23:17,401 - ForkProcess-8 - WARNING - [6apr] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 53 O, 3, is greater than permitted
2025-10-20 22:23:17,417 - ForkProcess-7 - WARNING - [4er1] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 60 O, 3, is greater than permitted
2025-10-20 22:23:17,432 - ForkProcess-2 - WARNING - [4er2] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 41 O, 3, is greater than permitted
2025-10-20 22:23:17,438 - ForkProcess-1 - WARNING - [5apr] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 48 O, 3, is greater than permitted
2025-10-20 22:23:17,442 - ForkProcess-5 - WARNING - [4er4] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 370 O, 3, is greater than permitted
2025-10-20 22:23:17,474 - ForkProcess-6 - WARNING - [5er2] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 60 O, 3, is greater than permitted
2025-10-20 22:23:17,510 - ForkProcess-8 - WARNING - [3er5] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 79 O, 3, is greater than permitted
2025-10-20 22:23:17,512 - ForkProcess-7 - WARNING - [4apr] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 74 O, 3, is greater than permitted
2025-10-20 22:23:17,531 - ForkProcess-4 - WARNING - [2ypi] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 76 O, 3, is greater than permitted
2025-10-20 22:23:17,539 - ForkProcess-3 - WARNING - [5hvp] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 322 O, 3, is greater than permitted
2025-10-20 22:23:17,595 - ForkProcess-8 - WARNING - [2er6] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 332 O, 3, is greater than permitted
2025-10-20 22:23:17,702 - ForkProcess-7 - WARNING - [3er3] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 60 O, 3, is greater than permitted
2025-10-20 22:23:17,705 - ForkProcess-8 - WARNING - [5abp] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 47 O, 3, is greater than permitted
2025-10-20 22:23:17,717 - ForkProcess-6 - WARNING - [1apb] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 47 O, 3, is greater than permitted
2025-10-20 22:23:17,726 - ForkProcess-4 - WARNING - [5er1] Could not sanitize pocket molecule (likely due to discontinuous residues). Proceeding with unsanitized molecule. RDKit error: Explicit valence for atom # 19 O, 3, is greater than permitted
